4.0519,11.0401
2.7528,8.1406
3.1776,9.3239
4.3006,11.5731
4.0621,11.2963
2.6656,8.5961
3.1776,9.3239
2.7094,8.6092
3.2184,9.1761
2.5249,7.9405
3.5709,9.9566
2.8120,9.7879
3.7655,10.2284
3.4406,9.7424
3.7655,10.2284
1.7385,6.7430
2.4458,8.1447
1.4857,5.8623
1.0831,5.2154
1.1911,5.5337
3.1401,9.5965
1.2882,3.3996
1.1501,5.0830
2.7552,8.5591
3.3773,9.6582
4.1261,10.8703
3.4034,10.1749
2.6203,8.0904
3.4186,10.0540
2.7901,8.6891
1.2690,5.3833
3.6140,9.9747
2.5579,8.1462
2.2408,7.6269
2.1411,7.4454
4.4561,11.9360
3.9172,10.9370
2.9083,8.9113
2.8788,8.6509
3.2790,9.5766
1.1501,5.0830
3.5460,9.9551
2.1411,7.4454
5.2142,13.4828
0.7082,7.1598
0.9753,5.0397
5.7533,14.6748
4.4561,11.9360
7.7275,11.2247
4.3279,12.0016
2.1750,7.2530
1.8605,6.5661
3.7149,10.8822
9.7774,8.5730
2.7472,8.9607
3.6979,10.4039
2.5683,8.2386
3.5859,9.7353
2.4269,8.1327
3.7506,11.1513
3.1867,9.2715
3.1822,9.3182
3.4182,9.8115
10.3361,16.5884
4.4393,11.6611
1.6649,6.3780
4.0324,11.2054
3.1010,9.1405
5.0570,13.5523
1.6802,6.3691
3.7068,10.6197
4.5273,12.2256
2.5049,8.1084
3.6568,10.0835
1.2880,5.9612
3.5546,10.1689
2.1492,6.9693
4.5475,12.3245
2.5021,8.5293
2.9567,9.0422
4.8174,12.7672
3.2390,9.7245
2.7955,8.1674
2.8539,8.9022
2.0275,7.5257
2.9973,9.3793
2.7169,8.6045
-1.7927,8.2836
1.7238,6.4845
3.5408,10.0711
2.4787,8.0999
2.4440,8.0956
3.1863,9.2054
1.5252,6.1819
4.6052,12.2486
4.1152,11.1905
2.4440,8.0956
3.4309,9.9030
2.6714,8.2389
